,TEXT,sentiment
0,"I was in possession of this car for 6 months. In those 6 months the hood stopped working, the door locks and the CD player stopped working, the interior started rattling and squealing, and the gas gauge broke. That was an NBC from 2007! If you are thinking about buying this car, please keep looking. Maybe a Mini? Believe me when I say: GREAT CONCLUSION! If you already have one... good luck!",0
1,"We bought this vehicle in Jan after months of searching. Had a 6-cylinder Ford Windstar minivan and wanted SUV style without the high cost and poor fuel economy. After 3300 miles, as other reviewers began to hear rattling noises in the driver's side, as well as hesitation in accelerating. Returned at 8500 miles, and it was said that a new gearbox was needed! They had to replace others. I got the car back just 3 days ago, and it's still hesitating, but it's gone, for now. I loved this car, but I'm not sure it will last for many more years. Don't roll down the two rear windows as air pressure / noise is terrible.",0
2,"I bought the Kia Optima a year ago - this is my third Kia. About a week before the switch cable came off and nearly crashed into a car when I parked, I received a greeting card from the dealer. The dealer inspected the cable and said that they had never seen anything like it before - nothing was broken or damaged, the cable just came off. Now, almost a month later, I'm driving with the shotgun in my husband's truck because the cable has ""come off."" I seriously believe that this model has a design flaw and am just glad I never tried to use the switch function - imagine the cable would ""come off"" at 75 miles per hour on the motorway!",0
3,"I have a 2007 Nissan versa, I have startup problems, very intermittent, turn the key over for about 10 seconds, just crank and don't start, my wife is embarrassed when she tries to start it as well, plus I have sensors with weatherproof stripes falling off the back doors in the same place, not too impressed by the mileage of the petrol engine as what's on the sticker.",0
4,"I was so excited about the redesigned 2007 Passat Wagon! What a mistake! I've had this car THREE times since I bought it in March 2006. The engine malfunction keeps flashing up and the dealer can't find the problem except to say that there's an evaporator leak he can't fix. The service manager also explained that he had several Passats that did this. Please don't think the dealer will help you with these problems; YOU WON ""T... I wrote a letter to VW and they weren't willing to help me either. Volkswagen will NOT stand behind your vehicle. Nor will the brakes squeak. Don't buy this vehicle.",0
5,"I've loved Chevrolets and GMCs for 30 years. My 03 Chevy Silverado was the best truck I've ever had. My 08 GMC was the most disappointing truck I've ever bought. I get alarms all the time, including: parking assist off, airbag, low tires when they're not. In addition to the alarms the dealer can't fix, I've had two interior fans replaced, and they rattle again. The engine is tapping even though I'm taking the recommended action. ABS brakes look like I'm on ice on a dry road. Cheaper braking system. Discs already warped. My o3 brakes were 144K miles wide. The sun visors aren't wide enough to block the sun.",0
6,"I currently have one for a company car. Nearly 70,000 in 2 years. Vehicle has plenty of power to move around on busy roads, interior is nicely laid out (I have automatic climate control). No SYNC on previous models. Decent fuel economy on such a larger vehicle. Styling is nice, even after 70,000 miles, it's still nice to look at. Fever-feverish problems: Check your hood! Corrosion on the bonnets is a MAJOR problem. I've seen over half with corrosion problems. OEM tires are terrible! I'm currently in the third set, now driving GoodYear Integrity tires. Better ride, better wear. Poor manufacturing standards; doors not exactly lining up, hood misalignment etc. Front brakes wear prematurely.",0
7,"I am very disappointed with this purchase, the paint has burst and continues to bubble on parts that had been repainted before, which sounds like you need new breaks, all within 3 months of purchase. Headlights had to be replaced completely, washing liquid leaks from the hood, the rear paint fell off and again everything bubbles with 6 months of ownership of the vehicle. If you own the old sage, please go over it and check for bubbles of pinhead paint. It squeaks like an old truck on very hot days and long drives in stop-and-go traffic, has no pickup truck, the dashboard color is reflected on the windshield, which is a bit distracting. I will never buy a Mazda.",0
8,"I bought my first Honda after doing a lot of research on the fuel economy of cars. I bought it new with six miles on it and had problems with it drifting to the right. I already had it four times. The first time they had a front adjustment that had failed. It was still pulling to the right. When they came back that day, they changed the tires from back to front and said it was a radial train and they put all the new tires on it. It was drifting on and now they tell me it was the road and all the Hondas drifting to the right. It never moves to the left. Also, they scratched my paint when visiting with their free laundry. Very unfortunate!!!",0
9,"I've had my cobalt for a little over a year now, it's a fun little car, but I was expecting more. I added new rims / tires and a new exhaust because the exterior was reasonably plain. The interior looks really cheap, Chevy needs a major interior upgrade. I've yet to see what the mileage Chevy promises looks like, a little frustrating. I'd say it's a good entry-level car, but not really able to compete with other cars in the same category, it just falls short.",0
10,"I recently had a problem with the car, so the air conditioner was just blowing hot air. A visit to the dealer showed an undetected leak in the coolant of the system. They couldn't find the leak after 4 hours and put a dye in the refrigerant to try to find the leak. I've never had this problem with a Japanese vehicle. Has anyone else had this problem? I'm supposed to drive the car now for three months and return the vehicle to ""discover"" the leak.",0
11,"First we loved this car, then the problems started. Twice I had it fitted because of leaking doors from the drain pipes of the sunroof, soon it will be installed again. Seats are ruined by water damage. If we replace the stay holders, recall the wiper blades, we seem to be unable to repair the popping noises underneath. We are very upset, and also the car does not even make it to our driveway because of the gravel. It stinks of front-wheel drive! We wish we would never act. I feel cheated. This car is a lemon!!",0
12,It's the most uncomfortable car I've driven. I'm at just over 600 miles and only get 25 mpg on the highway! I've been researching for months and thought I was making a smart purchase decision. I'm not going to buy another one.,0
13,"I think you get a lot for your money, but I have only had my car changed for a year and 6 months and I already have the left front and right front axle and a door handle that fell off a passenger visor. I also had to have my air conditioner replaced because of peeling and now I am waiting for a door lock controller and a headlight on the right. I wonder how much I will have to spend after the 2-year warranty if I have to endure these frequent workshop visits without even having an accident and owning a new car. I would suggest a different car. I am thinking of the new Audi crossover Hyundia. By the way, I hate the unstable cup holders, cheap fans.",0
14,"If I had known then what I know now, I would never have gotten this Buick LaCrosse. This Buick has been to the dealer 5 times because of ONE problem, something with the steering column. I got an extended warranty from Buick, but that didn't work. It still doesn't work properly. The car goes back for lap six and the SAME EAT. I never drive American cars again. Thank you Buick for making such great American products. HA",0
