,TEXT,label
0,"Owned this 07 GL320 CDI for 15 months. Overall fuel efficiency has been 22.7 mpg through 20500 miles. On the highway, we've gotten up to 28 mpg, and always 20+ around town. Very comfortable on long trips or short commutes. Handled heavy winter snowfall in Spokane and North Idaho with ease. Couple of items to be aware of when purchasing. Uses synthetic Mobil 1, so oil changes are every 10- 12k. Oil light comes on occassionally. Dealer states it's a computer glitch that hasn't yet been corrected. OE tires (we have Continental 4x4 Contact 18"") are worn out and need to be replaced.",3
1,"This is my fourth Explorer and they just keep getting better! The features, versatility and the price can't be beat. The V-6 fuel ecomomy isn't great but, I get the same MPG that I got with my Acura MDX and I don't have to run premium fuel. The Sirius radio and Sync system are great. Towing two SEA- Doo's GTX's takes a little effort, but the vehicles handles and stops well. The third row seats are great for kids under twelve and I love the power up and down feature. The second row seats recline but they do take a little effort to move up and out so people can get into the third row.",4
2,"If you like the way it looks, you will love the way it drives. Just get in, let the generous options surround you and lean back and enjoy the ride. Very solid car and fun to drive. When I park it in the garage at night, I can hardly wait until the next morning to drive it again. Do yourself a favor, go drive one. You won't regret it.",4
3,I realized in the 1st tank of gas that I wasn't getting the MPG that Saturn told me I would get. The vehicle is rated at 16 MPG city but we struggle to get 12. It would be different if the vehicle was driven hard but it's driven very slow in a fairly small town that you don't drive over 35 MPH. I've had the vehicle back to 2 Saturn dealerships 4 times and they can't seem to figure out why it gets the poor mileage. The last Saturn dealer told me they drove it and got over 16 MPG. I offered to ride with them to verify their claim and they refused. My wife loves the vehicle but if I knew it was going to get 12 MPG I would have bought another vehicle with a V-8 engine.,2
4,Traded in a 06 Honda pilot. Now I have an RX 350 AWD the ride is a lot more like a car's. It's got the power to take off in a green light.,3
5,"I bought this car 1 year ago, after owning our last CRVLX for 8 1/2 years. We have been extremely happy with the performance and comfort of our SUV. The gas mileage is awesome. We have gotten 29-30mpg on the HWY, and 22-24 in combined city/hwy driving. Much better than our last CRV.",4
6,"Car is so quiet and smooth. Luv the bigger V-6, almost unnoticeable when it shifts. SE has very nice interior. Very comfortable. Great mileage...21 local...24 highway. Better mileage than 2003 which had small V-6. Had 2003 Santa Fe 5 years..enjoyed it so much there was no question when we went to look for a new car. No mechanical probs on the 2003 & after I'd wash it it looked like new car even after 5 years. When u consider the price & warranty, my 2008 Santa Fee is a ""no-brainer""!",4
7,"Great car, very fast, big enough for a big guy (6'-4"" size 18 shoes) to fit very comfortably. It feels a little less powerful than it actually is until you realize how much faster your going than everyone around you, its pretty smooth for a car that handles well and accelerates so fast. It would be nice if they would make a less expensive, stripped down coupe version of the G8 that could fill the void where the firebird used to be, the solstice just doesn't cut it with no v8 and being so small a 5th grader can barely get in it",4
8,"We looked at the Mazda 9, very nice, looked at Honda Pilot/CRV and Toyota RAV and Highlander, and the Hyundai Santa Fe/Veracruz, nice also. But when you compare all of the features and standard stuff, the Suzuki really blows them away. Adding the no deductible, 7 year 100,000 mile warranty, free loan car, that covers exerything except the battery and tires! Even a burned out bulb is covered! Amazing. And the Japanese made GM motor is smooth and powerful, and all the safety stuff gets is a 5 star rating.",4
9,"Bought this car new for practical reasons (not a 4 door sedan type person), and overall a decent car. Smoothest engine I've ever heard, bar none! CVT transmission works well and gas mileage averaged over 30 mpg. But overall a pretty boring drive. Handling is average, driver's seat too soft and lacks lumbar support, sun visor hits mirror when lowered, (bumper cover popped off, panels don't align well).",3
10,"In the approximately 3 weeks we have had the black on black wagon we have been stopped repeatedly by people asking what type of car is it, what year is it, is it a BMW, etc. We had 2002 Audi A6 wagon for the last four years and did not give anything up by getting this car except for saving a bunch of money. Its fit and finish are top notch, its engine excellent, its stlying is sharp, and its ride is fun. Get the sport package for no other reason than the sport seats which are much better than the ""comfort"" seats. Also it has metal on dash instead of wood for a little more sporty appearance. This car is loaded with features and technology. We also looked at BMW 325xi and Subaru Outback but this was by for the best for the money. We have had no problems to date.",4
11,"I've had my max for a few weeks now and I love it. I've driven many V6's but this CVT is, by far, the smoothest, and one of the quickest. It adjusts to your driving style so when your taking it easy, it drives in a higher gear for better fuel economy, and yes as someone said, it can feel a bit lethargic off the line in that mode. Feels like it starts in 2nd? However, if you drive a more aggressively, off the line, at 100 mph, or anywhere in between, this car is a beast! It automatically adjusts and rides in higher RPM's to stays in the ""sweet spot"" where are the power is. It's very sure-footed in corners with hardly no body roll, but feels a bit heavy. All around a quality built car.",3
12,"""CHAMPAGNE TASTE ON A BEER BUDGET"" probably covers everything that you need to know about the new Passat, and for all you non-drinkers, you just plug in your cool key and drive. The value to cost ratio is excellent. I tend not to keep cars for over 3-4 years, so as for reliability, the Passat will probably work just fine or will be covered under warranty. On the other hand, my wife has the C. Beetle and she loves it.",4
13,"Fell in love with the car's look and would be a happy camper if it weren't for all of the little hiccups the car had. I owned this car for 6 months. In those 6 months the top stopped working, the door locks and the cd player malfunctioned, the inside started rattling and squeaking, and the gas gauge broke. This was a 2007 NBC! If you are thinking about buying this car, please keep looking. Maybe a mini? Believe me when I say HUGE DISAPPOINTMENT! If you already own one...good luck!",0
14,"We purchased this vehicle in Jan after searching for many months. Had a 6 cyl Ford Windstar minivan, and wanted SUV style w/o the high cost and poor gas milage. After 3300 miles, like other reviewers began hearing rattling noice in driver front side, as well as hesitation when accelerating. Brought back in at 8500 miles, and was told need new transmission! They have had to replace others. I just got the car back 3 days ago, and it STILL hesitates, however rattling is gone, for now. Loved this car, however not sure if it's going to last me many more years. Don't roll down the 2 back windows, as air pressure/noise is terrible.",1
15,"A co-worker of mine gave me a ride to work one morning. She picked me up in her Acura RL. By the time we reached work I believe I repeated the phrase - ""this is a great car"" - about 5 times. Well I own one now, just completed one year of ownership. Let me tell you folks there is no better value for money in the luxury category. I compared the RL to the BMW 5 and the Audi A6 and I saved about $15k easily. The best car that I have owned bar none. You are surrounded in luxury and comfort. The AWD, steering and handling are superb. I wonder how I ever survived the LA labyrinth without my Acura nav system - it is amazing. The only negative is the rear middle seat, it is uncomfortable.",4
