,DATE,AUTHOR,TEXT,FAVORITE,YEAR,MANUFACTURER,MODEL,LABEL
18455,08/27/2008,tjl,"Owned this 07 GL320 CDI for 15 months. Overall fuel efficiency has been 22.7 mpg through 20500 miles. On the highway, we've gotten up to 28 mpg, and always 20+ around town. Very comfortable on long trips or short commutes. Handled heavy winter snowfall in Spokane and North Idaho with ease. Couple of items to be aware of when purchasing. Uses synthetic Mobil 1, so oil changes are every 10- 12k. Oil light comes on occassionally. Dealer states it's a computer glitch that hasn't yet been corrected. OE tires (we have Continental 4x4 Contact 18"") are worn out and need to be replaced.","Great ride. Great handling. Goes a long, long way between fill-ups!",2007,mercedes-benz,gl-class,4
9534,04/07/2008,Brad,"This is my fourth Explorer and they just keep getting better! The features, versatility and the price can't be beat. The V-6 fuel ecomomy isn't great but, I get the same MPG that I got with my Acura MDX and I don't have to run premium fuel. The Sirius radio and Sync system are great. Towing two SEA- Doo's GTX's takes a little effort, but the vehicles handles and stops well. The third row seats are great for kids under twelve and I love the power up and down feature. The second row seats recline but they do take a little effort to move up and out so people can get into the third row.","Sync, Sirius, Class 3/4 trailer hitch set-up with two different types of electrical plug ins, Power fold 3rd row seats. Rear air conditioning and heating controls, Reverse sensing.",2008,ford,explorer,5
18250,05/31/2007,Tib=Fun!,"If you like the way it looks, you will love the way it drives. Just get in, let the generous options surround you and lean back and enjoy the ride. Very solid car and fun to drive. When I park it in the garage at night, I can hardly wait until the next morning to drive it again. Do yourself a favor, go drive one. You won't regret it.",The blue backlit displays are awesome. The sound system is also very nice.,2007,hyundai,tiburon,5
7395,12/28/2008,crasberry,I realized in the 1st tank of gas that I wasn't getting the MPG that Saturn told me I would get. The vehicle is rated at 16 MPG city but we struggle to get 12. It would be different if the vehicle was driven hard but it's driven very slow in a fairly small town that you don't drive over 35 MPH. I've had the vehicle back to 2 Saturn dealerships 4 times and they can't seem to figure out why it gets the poor mileage. The last Saturn dealer told me they drove it and got over 16 MPG. I offered to ride with them to verify their claim and they refused. My wife loves the vehicle but if I knew it was going to get 12 MPG I would have bought another vehicle with a V-8 engine.,The vehicle drives great and has plenty of room for my grandkids.,2008,saturn,outlook,3
22773,01/17/2007,Eric H.,Traded in a 06 Honda pilot. Now I have an RX 350 AWD the ride is a lot more like a car's. It's got the power to take off in a green light.,Power tailgate & the HID light.,2007,lexus,rx 350,4
1065,07/02/2009,Honda4life,"I bought this car 1 year ago, after owning our last CRVLX for 8 1/2 years. We have been extremely happy with the performance and comfort of our SUV. The gas mileage is awesome. We have gotten 29-30mpg on the HWY, and 22-24 in combined city/hwy driving. Much better than our last CRV.","Heated leather, XM, Sunroof, body style, reliability.",2008,honda,cr-v,5
11565,01/11/2009,Blazinjoe,"Car is so quiet and smooth. Luv the bigger V-6, almost unnoticeable when it shifts. SE has very nice interior. Very comfortable. Great mileage...21 local...24 highway. Better mileage than 2003 which had small V-6. Had 2003 Santa Fe 5 years..enjoyed it so much there was no question when we went to look for a new car. No mechanical probs on the 2003 & after I'd wash it it looked like new car even after 5 years. When u consider the price & warranty, my 2008 Santa Fee is a ""no-brainer""!","Steering wheel controls are nice. Was a great idea when they replaced the light carpets in the 2008...the '07 had light carpet w/light interiors even in cargo area. Wife said ""no way"" we get the car that way. Black carpets a much better idea.",2008,hyundai,santa fe,5
150,07/16/2008,Franchise,"Great car, very fast, big enough for a big guy (6'-4"" size 18 shoes) to fit very comfortably. It feels a little less powerful than it actually is until you realize how much faster your going than everyone around you, its pretty smooth for a car that handles well and accelerates so fast. It would be nice if they would make a less expensive, stripped down coupe version of the G8 that could fill the void where the firebird used to be, the solstice just doesn't cut it with no v8 and being so small a 5th grader can barely get in it",V8 Rear wheel drive standard premium audio system in the GT,2008,pontiac,g8,5
10754,03/10/2008,westcoastcop,"We looked at the Mazda 9, very nice, looked at Honda Pilot/CRV and Toyota RAV and Highlander, and the Hyundai Santa Fe/Veracruz, nice also. But when you compare all of the features and standard stuff, the Suzuki really blows them away. Adding the no deductible, 7 year 100,000 mile warranty, free loan car, that covers exerything except the battery and tires! Even a burned out bulb is covered! Amazing. And the Japanese made GM motor is smooth and powerful, and all the safety stuff gets is a 5 star rating.","The goodies included, the warranty, the looks!",2008,suzuki,xl7,5
7158,04/08/2009,kenosmom,"Bought this car new for practical reasons (not a 4 door sedan type person), and overall a decent car. Smoothest engine I've ever heard, bar none! CVT transmission works well and gas mileage averaged over 30 mpg. But overall a pretty boring drive. Handling is average, driver's seat too soft and lacks lumbar support, sun visor hits mirror when lowered, (bumper cover popped off, panels don't align well).","SMOOTH engine, gas mileage, CVT transmission, nice trunk space, nice standard sound system.",2008,nissan,sentra,4
18075,06/05/2006,gjk,"In the approximately 3 weeks we have had the black on black wagon we have been stopped repeatedly by people asking what type of car is it, what year is it, is it a BMW, etc. We had 2002 Audi A6 wagon for the last four years and did not give anything up by getting this car except for saving a bunch of money. Its fit and finish are top notch, its engine excellent, its stlying is sharp, and its ride is fun. Get the sport package for no other reason than the sport seats which are much better than the ""comfort"" seats. Also it has metal on dash instead of wood for a little more sporty appearance. This car is loaded with features and technology. We also looked at BMW 325xi and Subaru Outback but this was by for the best for the money. We have had no problems to date.","The engine, power liftgate, room, looks, active xenon headlights...its really a complete package.",2007,volkswagen,passat,5
